"District","District Code","English Learner Status","Count","%"
"New Fairfield School District","=""0910011""","English Learner Status","N/A","N/A"
"New Hartford School District","=""0920011""","English Learner Status","N/A","*"
"New Haven School District","=""0930011""","English Learner Status",142,5.0
"Newington School District","=""0940011""","English Learner Status",7,4.0
"New London School District","=""0950011""","English Learner Status",133,18.8
"New Milford School District","=""0960011""","English Learner Status",7,5.3
"Newtown School District","=""0970011""","English Learner Status","N/A","*"
"North Branford School District","=""0990011""","English Learner Status","*","*"
"North Canaan School District","=""1000011""","English Learner Status","N/A","*"
"North Haven School District","=""1010011""","English Learner Status","*","*"
"North Stonington School District","=""1020011""","English Learner Status","N/A","*"
"Norwalk School District","=""1030011""","English Learner Status",86,6.3
"Norwich School District","=""1040011""","English Learner Status",30,6.4
"Old Saybrook School District","=""1060011""","English Learner Status","N/A","N/A"
"Orange School District","=""1070011""","English Learner Status","N/A","N/A"
"Oxford School District","=""1080011""","English Learner Status","N/A","N/A"
"Plainfield School District","=""1090011""","English Learner Status","*","*"
"Plainville School District","=""1100011""","English Learner Status","*","*"
"Plymouth School District","=""1110011""","English Learner Status","N/A","*"
"Pomfret School District","=""1120011""","English Learner Status","N/A","*"
"Portland School District","=""1130011""","English Learner Status","*","*"
"Preston School District","=""1140011""","English Learner Status","N/A","*"
"Putnam School District","=""1160011""","English Learner Status","*","*"
"Redding School District","=""1170011""","English Learner Status","N/A","*"
"Ridgefield School District","=""1180011""","English Learner Status","N/A","N/A"
"Rocky Hill School District","=""1190011""","English Learner Status","*","*"
"Salem School District","=""1210011""","English Learner Status","N/A","*"
"Salisbury School District","=""1220011""","English Learner Status","N/A","*"
"Seymour School District","=""1240011""","English Learner Status","*","*"
"Sharon School District","=""1250011""","English Learner Status","N/A","*"
"Shelton School District","=""1260011""","English Learner Status",9,4.8
"Sherman School District","=""1270011""","English Learner Status","N/A","*"
"Simsbury School District","=""1280011""","English Learner Status","N/A","N/A"
"Somers School District","=""1290011""","English Learner Status","N/A","*"
"Southington School District","=""1310011""","English Learner Status","*","*"
"South Windsor School District","=""1320011""","English Learner Status","*","*"
"Sprague School District","=""1330011""","English Learner Status","N/A","*"
"Stafford School District","=""1340011""","English Learner Status","N/A","*"
"Stamford School District","=""1350011""","English Learner Status",62,3.1
"Stonington School District","=""1370011""","English Learner Status","*","*"
"Stratford School District","=""1380011""","English Learner Status",21,5.7
"Suffield School District","=""1390011""","English Learner Status","N/A","*"
"Thomaston School District","=""1400011""","English Learner Status","N/A","*"
"Thompson School District","=""1410011""","English Learner Status","N/A","*"
"Tolland School District","=""1420011""","English Learner Status","N/A","*"
"Torrington School District","=""1430011""","English Learner Status",28,8.0
"Trumbull School District","=""1440011""","English Learner Status","*","*"
"Vernon School District","=""1460011""","English Learner Status","*","*"
"Wallingford School District","=""1480011""","English Learner Status",8,2.9
"Waterbury School District","=""1510011""","English Learner Status",482,21.6
"Waterford School District","=""1520011""","English Learner Status","*","*"
"Watertown School District","=""1530011""","English Learner Status","*","*"
"Westbrook School District","=""1540011""","English Learner Status","N/A","N/A"
"West Hartford School District","=""1550011""","English Learner Status",19,3.7
"West Haven School District","=""1560011""","English Learner Status",27,3.9
"Weston School District","=""1570011""","English Learner Status","N/A","*"
"Westport School District","=""1580011""","English Learner Status","*","*"
"Wethersfield School District","=""1590011""","English Learner Status",14,6.9
"Willington School District","=""1600011""","English Learner Status","N/A","*"
"Wilton School District","=""1610011""","English Learner Status","*","*"
"Winchester School District","=""1620011""","English Learner Status","N/A","N/A"
"Windham School District","=""1630011""","English Learner Status",184,23.4
"Windsor School District","=""1640011""","English Learner Status",13,10.5
"Windsor Locks School District","=""1650011""","English Learner Status","*","*"
"Wolcott School District","=""1660011""","English Learner Status","*","*"
"Woodbridge School District","=""1670011""","English Learner Status","N/A","*"
"Regional School District 01","=""2010012""","English Learner Status","N/A","*"
"Regional School District 04","=""2040012""","English Learner Status","N/A","*"
"Regional School District 05","=""2050012""","English Learner Status","N/A","*"
"Regional School District 06","=""2060012""","English Learner Status","N/A","*"
"Regional School District 07","=""2070012""","English Learner Status","N/A","*"
"Regional School District 08","=""2080012""","English Learner Status","N/A","*"
"Regional School District 09","=""2090012""","English Learner Status","N/A","*"
"Regional School District 10","=""2100012""","English Learner Status","*","*"
"Regional School District 11","=""2110012""","English Learner Status","N/A","*"
"Regional School District 12","=""2120012""","English Learner Status","N/A","*"
"Regional School District 13","=""2130012""","English Learner Status","N/A","*"
"Regional School District 14","=""2140012""","English Learner Status","N/A","*"
"Regional School District 15","=""2150012""","English Learner Status","N/A","N/A"
"Regional School District 16","=""2160012""","English Learner Status","N/A","N/A"
"Regional School District 17","=""2170012""","English Learner Status","N/A","*"
"Regional School District 18","=""2180012""","English Learner Status","N/A","*"
"Regional School District 19","=""2190012""","English Learner Status","*","*"
"Capitol Region Education Council","=""2410014""","English Learner Status",26,11.5
"Area Cooperative Educational Services","=""2440014""","English Learner Status",13,26.0
"Learn","=""2450014""","English Learner Status","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","English Learner Status","N/A","*"
"Integrated Day Charter School District","=""2640013""","English Learner Status","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","English Learner Status",6,15.8
"Common Ground High School District","=""2680013""","English Learner Status","N/A","*"
"The Bridge Academy District","=""2690013""","English Learner Status","*","*"
"Side By Side Charter School District","=""2700013""","English Learner Status","N/A","*"
"Amistad Academy District","=""2790013""","English Learner Status",34,33.7
"New Beginnings Inc., Family Academy District","=""2800013""","English Learner Status","N/A","*"
"Park City Prep Charter School District","=""2830013""","English Learner Status","N/A","*"
"Bridgeport Achievement First District","=""2850013""","English Learner Status",27,28.1
"Achievement First Hartford Academy Inc. District","=""2880013""","English Learner Status",10,34.5
"Elm City College Preparatory School District","=""2890013""","English Learner Status",12,26.1
"Unified School District #2","=""3470015""","English Learner Status","N/A","*"
"Connecticut Technical High School System","=""9000016""","English Learner Status",50,17.5
"Norwich Free Academy District","=""9010022""","English Learner Status",22,13.7
"The Gilbert School District","=""9020022""","English Learner Status",9,40.9
"Woodstock Academy District","=""9030022""","English Learner Status","*","*"
"Andover School District","=""0010011""","English Learner Status","N/A","*"
"Ansonia School District","=""0020011""","English Learner Status","*","*"
"Ashford School District","=""0030011""","English Learner Status","N/A","*"
"Avon School District","=""0040011""","English Learner Status","N/A","N/A"
"Barkhamsted School District","=""0050011""","English Learner Status","N/A","*"
"Berlin School District","=""0070011""","English Learner Status","*","*"
"Bethel School District","=""0090011""","English Learner Status","*","*"
"Bloomfield School District","=""0110011""","English Learner Status",7,25.0
"Bolton School District","=""0120011""","English Learner Status","N/A","*"
"Bozrah School District","=""0130011""","English Learner Status","N/A","*"
"Branford School District","=""0140011""","English Learner Status","*","*"
"Bridgeport School District","=""0150011""","English Learner Status",324,11.4
"Bristol School District","=""0170011""","English Learner Status",36,10.7
"Brookfield School District","=""0180011""","English Learner Status","*","*"
"Brooklyn School District","=""0190011""","English Learner Status","N/A","*"
"Canaan School District","=""0210011""","English Learner Status","N/A","*"
"Canterbury School District","=""0220011""","English Learner Status","N/A","*"
"Canton School District","=""0230011""","English Learner Status","*","*"
"Chaplin School District","=""0240011""","English Learner Status","N/A","*"
"Cheshire School District","=""0250011""","English Learner Status","*","*"
"Chester School District","=""0260011""","English Learner Status","N/A","*"
"Clinton School District","=""0270011""","English Learner Status","*","*"
"Colchester School District","=""0280011""","English Learner Status","*","*"
"Cornwall School District","=""0310011""","English Learner Status","N/A","*"
"Coventry School District","=""0320011""","English Learner Status","N/A","*"
"Cromwell School District","=""0330011""","English Learner Status","*","*"
"Danbury School District","=""0340011""","English Learner Status",181,7.8
"Darien School District","=""0350011""","English Learner Status","N/A","N/A"
"Deep River School District","=""0360011""","English Learner Status","*","*"
"Derby School District","=""0370011""","English Learner Status",7,7.4

