"District","District Code","English Learner Status","Count","%"
"Elm City College Preparatory School District","=""2890013""","English Learner Status","*","*"
"Unified School District #2","=""3470015""","English Learner Status","N/A","*"
"Connecticut Technical High School System","=""9000016""","English Learner Status",54,19.8
"Norwich Free Academy District","=""9010022""","English Learner Status",20,18.3
"The Gilbert School District","=""9020022""","English Learner Status","*","*"
"Woodstock Academy District","=""9030022""","English Learner Status","N/A","*"
"Andover School District","=""0010011""","English Learner Status","N/A","*"
"Ansonia School District","=""0020011""","English Learner Status","*","*"
"Ashford School District","=""0030011""","English Learner Status","*","*"
"Avon School District","=""0040011""","English Learner Status","N/A","N/A"
"Barkhamsted School District","=""0050011""","English Learner Status","N/A","*"
"Berlin School District","=""0070011""","English Learner Status","*","*"
"Bethany School District","=""0080011""","English Learner Status","N/A","*"
"Bethel School District","=""0090011""","English Learner Status",7,8.1
"Bloomfield School District","=""0110011""","English Learner Status",6,16.2
"Bolton School District","=""0120011""","English Learner Status","N/A","*"
"Branford School District","=""0140011""","English Learner Status",6,4.8
"Bridgeport School District","=""0150011""","English Learner Status",319,12.1
"Bristol School District","=""0170011""","English Learner Status",32,11.1
"Brookfield School District","=""0180011""","English Learner Status","*","*"
"Brooklyn School District","=""0190011""","English Learner Status","N/A","*"
"Canterbury School District","=""0220011""","English Learner Status","N/A","*"
"Canton School District","=""0230011""","English Learner Status","*","*"
"Cheshire School District","=""0250011""","English Learner Status","*","*"
"Chester School District","=""0260011""","English Learner Status","*","*"
"Clinton School District","=""0270011""","English Learner Status",6,14.6
"Colchester School District","=""0280011""","English Learner Status","*","*"
"Coventry School District","=""0320011""","English Learner Status","N/A","*"
"Cromwell School District","=""0330011""","English Learner Status","N/A","N/A"
"Danbury School District","=""0340011""","English Learner Status",245,12.0
"Darien School District","=""0350011""","English Learner Status","N/A","N/A"
"Deep River School District","=""0360011""","English Learner Status","N/A","*"
"Derby School District","=""0370011""","English Learner Status",9,8.5
"East Granby School District","=""0400011""","English Learner Status","N/A","*"
"East Haddam School District","=""0410011""","English Learner Status","N/A","*"
"East Hampton School District","=""0420011""","English Learner Status","N/A","*"
"East Hartford School District","=""0430011""","English Learner Status",90,15.1
"East Haven School District","=""0440011""","English Learner Status",13,6.3
"East Lyme School District","=""0450011""","English Learner Status","N/A","N/A"
"Easton School District","=""0460011""","English Learner Status","N/A","*"
"East Windsor School District","=""0470011""","English Learner Status","*","*"
"Ellington School District","=""0480011""","English Learner Status","*","*"
"Enfield School District","=""0490011""","English Learner Status","*","*"
"Essex School District","=""0500011""","English Learner Status","N/A","*"
"Fairfield School District","=""0510011""","English Learner Status","*","*"
"Farmington School District","=""0520011""","English Learner Status","*","*"
"Glastonbury School District","=""0540011""","English Learner Status","*","*"
"Granby School District","=""0560011""","English Learner Status","N/A","*"
"Greenwich School District","=""0570011""","English Learner Status",8,1.6
"Griswold School District","=""0580011""","English Learner Status","N/A","N/A"
"Groton School District","=""0590011""","English Learner Status",21,19.8
"Guilford School District","=""0600011""","English Learner Status","N/A","N/A"
"Hamden School District","=""0620011""","English Learner Status",12,4.7
"Hartford School District","=""0640011""","English Learner Status",581,16.0
"Hebron School District","=""0670011""","English Learner Status","N/A","*"
"Kent School District","=""0680011""","English Learner Status","N/A","*"
"Killingly School District","=""0690011""","English Learner Status","*","*"
"Lebanon School District","=""0710011""","English Learner Status","N/A","*"
"Ledyard School District","=""0720011""","English Learner Status","*","*"
"Lisbon School District","=""0730011""","English Learner Status","N/A","*"
"Litchfield School District","=""0740011""","English Learner Status","*","*"
"Madison School District","=""0760011""","English Learner Status","N/A","*"
"Manchester School District","=""0770011""","English Learner Status",27,8.2
"Mansfield School District","=""0780011""","English Learner Status","N/A","N/A"
"Marlborough School District","=""0790011""","English Learner Status","N/A","*"
"Meriden School District","=""0800011""","English Learner Status",185,18.2
"Middletown School District","=""0830011""","English Learner Status",10,6.9
"Milford School District","=""0840011""","English Learner Status","*","*"
"Monroe School District","=""0850011""","English Learner Status","N/A","*"
"Montville School District","=""0860011""","English Learner Status","*","*"
"Naugatuck School District","=""0880011""","English Learner Status",13,6.9
"New Britain School District","=""0890011""","English Learner Status",325,18.8

