"District","District Code","English Learner Status","Count","%"
"Hartford School District","=""0640011""","English Learner Status",489,11.3
"Hartland School District","=""0650011""","English Learner Status","N/A","*"
"Hebron School District","=""0670011""","English Learner Status","N/A","*"
"Highville Charter School District","=""2860013""","English Learner Status","N/A","*"
"Integrated Day Charter School District","=""2640013""","English Learner Status","*","*"
"Interdistrict School for Arts and Comm District","=""2650013""","English Learner Status",7,35.0
"Kent School District","=""0680011""","English Learner Status","N/A","*"
"Killingly School District","=""0690011""","English Learner Status","*","*"
"Learn","=""2450014""","English Learner Status",28,9.1
"Lebanon School District","=""0710011""","English Learner Status","N/A","*"
"Ledyard School District","=""0720011""","English Learner Status","N/A","N/A"
"Lisbon School District","=""0730011""","English Learner Status","N/A","*"
"Litchfield School District","=""0740011""","English Learner Status","N/A","*"
"Madison School District","=""0760011""","English Learner Status","N/A","N/A"
"Manchester School District","=""0770011""","English Learner Status",19,4.4
"Mansfield School District","=""0780011""","English Learner Status","*","*"
"Marlborough School District","=""0790011""","English Learner Status","N/A","*"
"Meriden School District","=""0800011""","English Learner Status",82,6.4
"Middletown School District","=""0830011""","English Learner Status",13,7.3
"Milford School District","=""0840011""","English Learner Status",6,3.9
"Monroe School District","=""0850011""","English Learner Status","*","*"
"Montville School District","=""0860011""","English Learner Status","*","*"
"Naugatuck School District","=""0880011""","English Learner Status",11,4.1
"New Beginnings Inc Family Academy District","=""2800013""","English Learner Status","N/A","*"
"New Britain School District","=""0890011""","English Learner Status",255,14.6
"New Canaan School District","=""0900011""","English Learner Status","N/A","N/A"
"New Fairfield School District","=""0910011""","English Learner Status","*","*"
"New Hartford School District","=""0920011""","English Learner Status","N/A","*"
"New Haven School District","=""0930011""","English Learner Status",113,3.1
"New London School District","=""0950011""","English Learner Status",97,11.4
"New Milford School District","=""0960011""","English Learner Status","*","*"
"Newington School District","=""0940011""","English Learner Status",10,4.3
"Newtown School District","=""0970011""","English Learner Status","*","*"
"Norfolk School District","=""0980011""","English Learner Status","N/A","*"
"North Branford School District","=""0990011""","English Learner Status","N/A","*"
"North Canaan School District","=""1000011""","English Learner Status","N/A","*"
"North Haven School District","=""1010011""","English Learner Status","N/A","N/A"
"North Stonington School District","=""1020011""","English Learner Status","N/A","*"
"Norwalk School District","=""1030011""","English Learner Status",134,7.1
"Norwich Free Academy District","=""9010022""","English Learner Status",31,19.0
"Norwich School District","=""1040011""","English Learner Status",45,6.7
"Odyssey Community School District","=""2630013""","English Learner Status","N/A","N/A"
"Old Saybrook School District","=""1060011""","English Learner Status","*","*"
"Orange School District","=""1070011""","English Learner Status","N/A","N/A"
"Oxford School District","=""1080011""","English Learner Status","*","*"
"Park City Prep Charter School District","=""2830013""","English Learner Status","*","*"
"Path Academy District","=""2930013""","English Learner Status",10,45.5
"Plainfield School District","=""1090011""","English Learner Status","*","*"
"Plainville School District","=""1100011""","English Learner Status","*","*"
"Plymouth School District","=""1110011""","English Learner Status","*","*"
"Pomfret School District","=""1120011""","English Learner Status","N/A","*"
"Portland School District","=""1130011""","English Learner Status","N/A","N/A"
"Preston School District","=""1140011""","English Learner Status","N/A","*"
"Putnam School District","=""1160011""","English Learner Status","*","*"
"Redding School District","=""1170011""","English Learner Status","N/A","*"
"Regional School District 01","=""2010012""","English Learner Status","N/A","*"
"Regional School District 04","=""2040012""","English Learner Status","N/A","*"
"Regional School District 05","=""2050012""","English Learner Status","N/A","*"
"Regional School District 06","=""2060012""","English Learner Status","N/A","*"
"Regional School District 08","=""2080012""","English Learner Status","N/A","*"
"Regional School District 09","=""2090012""","English Learner Status","N/A","*"
"Regional School District 10","=""2100012""","English Learner Status","N/A","N/A"
"Regional School District 11","=""2110012""","English Learner Status","N/A","*"
"Regional School District 12","=""2120012""","English Learner Status","N/A","*"
"Regional School District 13","=""2130012""","English Learner Status","N/A","*"
"Regional School District 14","=""2140012""","English Learner Status","*","*"
"Regional School District 15","=""2150012""","English Learner Status","N/A","N/A"
"Regional School District 16","=""2160012""","English Learner Status","*","*"
"Regional School District 17","=""2170012""","English Learner Status","N/A","*"
"Regional School District 18","=""2180012""","English Learner Status","N/A","*"
"Regional School District 19","=""2190012""","English Learner Status","*","*"
"Ridgefield School District","=""1180011""","English Learner Status","*","*"
"Rocky Hill School District","=""1190011""","English Learner Status","*","*"
"Salem School District","=""1210011""","English Learner Status","N/A","*"
"Salisbury School District","=""1220011""","English Learner Status","*","*"
"Seymour School District","=""1240011""","English Learner Status","*","*"
"Sharon School District","=""1250011""","English Learner Status","N/A","*"
"Shelton School District","=""1260011""","English Learner Status",9,3.7
"Sherman School District","=""1270011""","English Learner Status","N/A","*"
"Side By Side Charter School District","=""2700013""","English Learner Status","N/A","*"
"Simsbury School District","=""1280011""","English Learner Status","N/A","N/A"
"Somers School District","=""1290011""","English Learner Status","*","*"
"South Windsor School District","=""1320011""","English Learner Status","*","*"
"Southington School District","=""1310011""","English Learner Status","*","*"
"Sprague School District","=""1330011""","English Learner Status","N/A","*"
"Stafford School District","=""1340011""","English Learner Status","N/A","*"
"Stamford Academy District","=""2820013""","English Learner Status","N/A","*"
"Stamford Charter School for Excellence District","=""2960013""","English Learner Status","N/A","*"
"Stamford School District","=""1350011""","English Learner Status",124,5.5
"Stonington School District","=""1370011""","English Learner Status","N/A","*"
"Stratford School District","=""1380011""","English Learner Status",16,3.8
"Suffield School District","=""1390011""","English Learner Status","*","*"
"The Bridge Academy District","=""2690013""","English Learner Status","*","*"
"The Gilbert School District","=""9020022""","English Learner Status","*","*"
"Thomaston School District","=""1400011""","English Learner Status","*","*"
"Thompson School District","=""1410011""","English Learner Status","N/A","*"
"Tolland School District","=""1420011""","English Learner Status","N/A","N/A"
"Torrington School District","=""1430011""","English Learner Status",25,6.1
"Trailblazers Academy District","=""2780013""","English Learner Status","N/A","*"
"Trumbull School District","=""1440011""","English Learner Status","N/A","N/A"
"Unified School District #1","=""3360015""","English Learner Status","N/A","*"
"Unified School District #2","=""3470015""","English Learner Status","N/A","*"
"Vernon School District","=""1460011""","English Learner Status",8,8.2
"Wallingford School District","=""1480011""","English Learner Status",19,5.4
"Waterbury School District","=""1510011""","English Learner Status",492,17.5
"Waterford School District","=""1520011""","English Learner Status","*","*"
"Watertown School District","=""1530011""","English Learner Status","*","*"
"West Hartford School District","=""1550011""","English Learner Status",31,5.3
"West Haven School District","=""1560011""","English Learner Status",29,3.5
"Westbrook School District","=""1540011""","English Learner Status","N/A","N/A"
"Weston School District","=""1570011""","English Learner Status","*","*"
"Westport School District","=""1580011""","English Learner Status","*","*"
"Wethersfield School District","=""1590011""","English Learner Status",20,6.1
"Willington School District","=""1600011""","English Learner Status","N/A","*"
"Wilton School District","=""1610011""","English Learner Status","N/A","N/A"
"Winchester School District","=""1620011""","English Learner Status","*","*"
"Windham School District","=""1630011""","English Learner Status",135,14.2
"Windsor Locks School District","=""1650011""","English Learner Status","*","*"
"Windsor School District","=""1640011""","English Learner Status",9,7.0
"Wolcott School District","=""1660011""","English Learner Status","*","*"
"Woodbridge School District","=""1670011""","English Learner Status","N/A","*"
"Woodstock School District","=""1690011""","English Learner Status","N/A","*"

